timestamp,dest,src,rssi
1730402147.4767952,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-50
1730402147.620606,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-50
1730402147.6650872,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-47
1730402147.7089033,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-48
1730402147.7562213,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-47
1730402148.3544843,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-46
1730402148.8978121,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-47
1730402149.4952495,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-48
1730402149.728974,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-49
1730402149.8895526,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-51
1730402149.939224,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-49
1730402149.979907,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-47
1730402150.0147543,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-50
1730402152.7383828,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-51
1730402155.2665977,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-48
1730402155.6305265,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-47
1730402156.3361745,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-53
1730402156.719016,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-51
1730402156.7527502,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-49
1730402156.8158674,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-52
1730402156.8565238,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-50
1730402157.080922,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-52
1730402157.7683475,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-46
1730402157.855592,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-52
1730402157.9457161,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-50
1730402158.5259786,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-49
1730402158.6857839,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-50
1730402158.7716043,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-50
1730402159.4422505,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-52
1730402160.0906553,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-49
1730402160.389181,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-52
1730402160.4350247,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-50
1730402163.7607589,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-50
1730402163.888124,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-47
1730402164.0917652,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-52
1730402164.1241229,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-49
1730402164.1612132,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-48
1730402164.2244864,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-52
1730402164.3516643,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-47
1730402164.4423323,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-51
1730402164.4792752,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-50
1730402164.5931954,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-47
1730402164.7734962,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-50
1730402165.2264137,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-47
1730402166.5465539,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-48
1730402166.7614744,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-50
1730402166.8714201,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-51
1730402166.933789,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-47
1730402167.010278,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-47
1730402167.089487,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-49
1730402167.1585145,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-53
1730402167.2293127,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-49
1730402167.3168266,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-49
1730402167.4699116,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-51
1730402167.5675511,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-48
1730402167.6457233,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-51
1730402167.7335348,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-48
1730402167.9364398,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-49
1730402169.3802924,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-47
1730402179.5655408,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-49
1730402179.707305,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-50
1730402179.7710626,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-51
1730402179.968635,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-51
1730402180.0429525,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-47
1730402180.161072,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-48
1730402180.234939,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-49
1730402180.2919416,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-48
1730402180.3787348,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-49
1730402180.3926961,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-49
1730402180.4528704,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-50
1730402180.7550652,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-52
1730402181.3222315,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-47
1730402181.648646,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-49
1730402181.801238,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-49
1730402181.897716,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-52
1730402182.0886247,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-51
1730402186.482506,44:12:44:69:9d:f2,d8:3a:dd:a2:47:2f,-47